Name,Title,Location,Dept,Phone,Link
"Weiner, Timothy M.",Judge,Clara Shortridge Foltz Criminal Justice Center,048,(213) 628-7748,../../Courthouse/info/CCB
"Weingart , Gregory  J. ",Judge,Stanley Mosk,065,(213) 633-1065,../../Courthouse/info/LA
"Weintraub, Debre Katz",Judge,Stanley Mosk,076,(213) 830-0776,../../Courthouse/info/LA
"Weis Birnstein, Lauren ",Judge,Airport,082,(310) 725-3042,../../Courthouse/info/LAX
"Weiss, Susan K.",Commissioner,Chatsworth,F40,(818) 407-2240,../../Courthouse/info/CHA
"Whitaker, Michael E.",Judge,Edmund D. Edelman Children's Court,417,(323) 307-8017,../../Courthouse/info/CCJ
"White, Kerry L.",Judge,East Los Angeles,005,(323) 780-2009,../../Courthouse/info/ELA
"White, Elizabeth Allen ",Judge,Stanley Mosk,048,(213) 633-0648,../../Courthouse/info/LA
"White-Brown, Gloria ",Judge,West Covina,002,(626) 430-2582,../../Courthouse/info/CIT
"Widdifield, Melissa N.",Judge,Compton,261,(310) 761-4261,../../Courthouse/info/COM
"Wiese, Stacy ",Judge,West Covina,004,(626) 430-2504,../../Courthouse/info/CIT
"Willett, William G.",Judge,Torrance and Annex,011,(310) 787-3711,../../Courthouse/info/SBA
"Wilson , Victoria  B.",Judge,Clara Shortridge Foltz Criminal Justice Center,051,(213) 628-7751,../../Courthouse/info/CCB
"Windham, Mark E.",Judge,Airport,081,(310) 725-3090,../../Courthouse/info/LAX
"Wright, Victor L.",Judge,Inglewood,002,(310) 419-1302,../../Courthouse/info/ING
"Yaroslavsky, David ",Judge,Van Nuys - West,102,(818) 989-6802,../../Courthouse/info/LAV
"Yep, Brian C.",Judge,Michael D. Antonovich Antelope Valley,A14,(661) 483-5774,../../Courthouse/info/ATP
"Yerkey, Amy ",Judge,Governor George Deukmejian - Long Beach,S02,(562) 256-1415,../../Courthouse/info/LB
"Young, Mark A.",Judge,Santa Monica,M,(310) 255-1846,../../Courthouse/info/SM
"Yriarte, Geanene M.",Judge,Pomona,281, ,../../Courthouse/info/EA
"Zacky, Hayden ",Judge,San Fernando,N,(818) 256-1806,../../Courthouse/info/LAS
"Zeidler, Daniel Zeke",Judge,Edmund D. Edelman Children's Court,404,(323) 307-8004,../../Courthouse/info/CCJ
"Zuckman, Mark T.",Commissioner,Airport,092,(310) 725-3046,../../Courthouse/info/LAX
"Zukin, Helen ",Judge,Stanley Mosk,084,(213) 830-0784,../../Courthouse/info/LA
"Zuzga, Cynthia A.",Commissioner,East Los Angeles,003,(323) 780-2005,../../Courthouse/info/ELA
